Text,Label
সবার আগে ভালো জীবন গড়ে তুলুন।,2
"স্যার পাঁচ বছর, দালা’লদের কথা শুনবেন না",2
"সরকারের উচিত তথ্যপ্রযুক্তি খাতে বিনিয়োগ বাড়ানো, কারণ এতে কর্মসংস্থান বৃদ্ধি পাবে।",2
নতুন বাজেটে স্বাস্থ্য খাতে বরাদ্দ বাড়ানোর সুপারিশ করা হচ্ছে।,2
"একজন সিনিয়র নেতার পরামর্শ, দলীয় সিদ্ধান্ত নেওয়ার আগে নেতাকর্মীদের মতামত নেওয়া উচিত।",2
নির্বাচনী ব্যবস্থার উন্নয়নে ইভিএম ব্যবহার বাড়ানোর পরামর্শ দিয়েছেন নির্বাচন বিশেষজ্ঞরা।,2
দুর্নীতি কমাতে স্বচ্ছতা বাড়ানোর পরামর্শ দিয়েছে ট্রান্সপারেন্সি ইন্টারন্যাশনাল।,2
উন্নয়ন পরিকল্পনায় পরিবেশবান্ধব নীতি গ্রহণ করা সুপারিশযোগ্য।,2
নির্বাচন বর্জন না করে দাবি আদায়ের জন্য শান্তিপূর্ণ উপায় খুঁজে বের করা উচিত।,2
তরুণদের উচিত দেশের ভবিষ্যতের জন্য সচেতনভাবে ভোটাধিকার প্রয়োগ করা।,2
বিশ্ববিদ্যালয়ে পড়ার পাশাপাশি কোন একটি স্কিল শেখার পরামর্শ দিচ্ছি।,2
ডায়াবেটিস রোগীদের জন্য লো-কার্ব ডায়েট বেছে নেওয়া ভালো।,2
ডায়েটে বেশি ফাইবার যুক্ত খাবার রাখা সুপারিশ করা হয়।,2
শিক্ষাজীবনে ভালো করতে হলে রুটিন মেনে চলার পরামর্শ দিচ্ছি।,2
"সন্তানকে সব সময় অন্যায়ের বিরুদ্ধে আওয়াজ তোলা শেখানো উচিৎ, অন্যায় মেনে নিয়ে মানিয়ে নেওয়া নয় 🙂!",2
বিত্তবানদের উচিত তার এই গরুগুলা ন্যায্য মূল্যের চেয়ে কিছু বেশি দিয়ে ক্রয় করে নেওয়া।,2
হাট কর্তৃপক্ষের উচিত আরিফুল এর গরু গুলো দ্রুত বিক্রির ব্যবস্থা করা।,2
বেশি দাম কেনার দরকার নেই গরু তিন টা কে নেয্য দামে কিনে ছেলে টি বাড়ি আসার ব্যবস্হা করুক গরু গুলো যেনো তারা তারি বিক্রি হয়ে যায় আমিন,2
সমাজের যাদের সামর্থ্য আছে তারা এই ছেলেটির পাশে দাঁড়াবেন গরুগুলো ক্রয় করার জন্য।,2
সাকিবের উচিত ছিলো অন্তত হুক স্টেপে তাল মিলানো।,2
বাংলা ডাটা রিসোর্স একদমই কম যেটা ২℅ মাত্র সুতরাং এইদিকে একটু বিশেষ দৃষ্টি দিতে পারেন,2
"বাংলাদেশে যে ভাবে ট্রাক দ্বারা মানুষের প্রাণ যাচ্ছে তাতে মনে হচ্ছে ট্রাককে নিষিদ্ধ করা এখন সময়ের দাবি, সাথে এর বিকল্প কিছু ভাবতে হবে।",2
সকল ক্ষেত্রে সকল ধরনের মতামত এর গুরুত্ব দেয়া প্রয়োজন,2
বাংলাদেশে সড়ক পরিবহণ আইন পরিবর্তন করে শাস্তি নিশ্চিত করতে হবে,2
"ওর মেন্টাল হেলথের ডক্টর দেখানো উচিত।
মাঝে মাঝে আউল ফাউল বোকা এমনিতেই থেমে যাবো তাহলে",2
রিজার্ব থেকে সামরিক যুদ্ব বিমান ও মিসা*ই*ল ১ বিলিয়ন ডলারের কিনেন স্যার।,2
প্রশাসনিক দুর্নীতি ও লুটপাটে বন্ধ হয় নাই। পাহারাদার এখনো ডাকাতের ভূমিকা পালন করছে। এই জায়গাতে খুব তাড়াতাড়ি সংস্কার দরকার।,2
এই জায়গা গুলোতে উচিত যারা কোরবানি দেয় তারা মিলে মাংস বিতরন করা যারা কিনতে আসে তাদের কাছে।,2
যে কোন একটা পৌরসভায় মেয়র পদে আপাতত দেয়া যায় কিনা বিবেচনা করবেন,2
"সবকিছু ভুলে গিয়ে মানুষের কল্যাণে কাজ করতে হবে, নিশ্চয়ই আল্লাহ দয়ালু এবং ক্ষমাশীল।",2
"একটা প্রশ্ন বাদ দিয়ে পরীক্ষার হলে যেও না,ওটাই আসবে।",2
"আপনারা দেশের মানুষের জন্য এক সাথে মিলে মিশে কাজ করেন,",2
সরকারকে যৌক্তিক দাবীগুলো দ্রুত মেনে নিয়ে শিক্ষার পরিবেশ ফিরিয়ে আনা উচিৎ।,2
ডিপ্লোমাতে ভর্তি  হয়ে থিওরি ও প্রাকটিক্যাল দুটোই শিখতে পারবি এবং চাকরিও পাবি।,2
"ডিপ্লোমাদেরও নবম গ্রেডে আবেদন করার সুযোগ দেওযা উচিৎ, পাশ করতে পারলেই যোগ্য।",2
"সরকারের এত টাকা খরচ করে বুয়েটের মত জায়গা পড়ার দরকার আছে,,, পলিটেকনিকে চলে আসুন।",2
নির্বাচন ২০২৬ সালের ডিসেম্বর এ হওয়া উচিত।,2
"যেকোনো মনের দুঃখ, অস্থিরতা বা অবস্থার সাথে সম্পর্কিত সহায়তা এবং সহানুভূতির জন্য মানসিক স্বাস্থ্য পেশাদার অথবা মনোবিশ্লেষকের সাথে যোগাযোগ করা উচিত। ",2
আওয়ামী লীগের উচিৎ ছিলো বিএনপিকে নিশ্চিহ্ন করে দেওয়া।,2
কোন একটি দায়িত্ব নিয়ে তা শেষ করতে না পারলে তা আপনাকে মানসিকভাবে অনেক যন্ত্রণা দিবে।,2
বাংলাদেশের সব রাজনৈতিক দলকে নিষিদ্ধ করা উচিত,2
মাঝে মাঝে নিজেকে হাইড করে ফেলুন।,2
নির্বাচন বয়কট করে ঈদের পর দূর্বার আন্দোলন গড়ে তুলুন!,2
"আপনি যদি একা কিছু করতে না পারেন, তাহলে পেশাদার সাহায্য বা মেন্টরশিপ নিন।",2
বাতিল করা হোক বৈষম্যের বিশেষ সুবিধা ২০ গ্রেডের কর্মচারীর ২৩৭ টাকা বেশি নেওয়ার থেকে না নিলেই দেশের জন্য ভালো,2
আপনি ও আপনার দল দয়া করে দাড়ি টুপি মর্যাদা টুকু রক্ষা করুন,2
"আমেরিকায় আরেকটি রাজনৈতিক দল গঠন করা দরকার,যে দু দল পালা বদল করে হ্মমতায় আসে এদের পররাষ্ট্র নিতি এক মুসলিম বিদ্বেষী।",2
"নতুন জিনিস শিখতে থাকুন, এতে আপনার জ্ঞান বাড়বে।",2
সরকার লবন দিয়েছে এতিমখানায় আপনারা দয়া করে চামড়া গুলো এতিমখানা দিয়ে দেন,2
পর্যাপ্ত বিশ্রাম এবং সঠিক খাদ্যাভ্যাস আপনার কর্মক্ষমতা বজায় রাখতে সাহায্য করবে।,2
"যে অভ্যাস গুলো আপনাকে পিছিয়ে দিচ্ছে, সেগুলো ধীরে ধীরে বদলানোর চেষ্টা করুন।",1
অজানা বিষয়ে তর্কে জড়াবেন না,2
মানচিনি কে ফিরিয়ে আনা উচিত।,2
"পদত্যাগ করাই ভাল,পরপর তিনবার মুলপর্বে খেলতে ব্যর্থ হওয়ার পথে ইতালি,",2
নতুন দল না করে বাংলাদেশ এনসিপিতে যোগ দিন এটি একটি আন্তর্জাতিক সংগঠন 😁,2
"বাংলাদেশে এসে একটা দল গঠন করুন, আপনার যে পরিমাণ টাকা, সব বাঙালিদের কিনতে পারবেন।",2
গণমাধ্যম কে আইনের আওতায় আনুন।,2
নিজের নিরাপত্তা রক্ষা ও স্বাস্থ্য ঝুঁকি এড়াতে সবাইকেই বিধিনিষেধ মেনে চলা উচিত।,2
চামড়ার ব্যবসা তুলে দেয়া উচিৎ।,2
বিভিন্ন ধর্মীয় দর্শন ও শিক্ষা সম্পর্কে পড়া এবং তা মেনে চলার চেষ্টা করলে জীবনের গভীরতা ও সত্য উপলব্ধি করা সহজ হয়।,2
"আপনি যে কাজগুলো করতে স্বাচ্ছন্দ্য বোধ করেন না, সেগুলো করার চেষ্টা করবেন মাঝে মাঝে। অপরিচিত লোকের সাথে কথা বলা, নতুন কোনো খেলা, নাচানাচি এরকম অনেক কিছু। এতে আপনার ওই বিষয়গুলো সম্পর্কে নতুন নতুন ধারণা হবে।",2
পর্যটন কেন্দ্র নিয়ে ধান্দা করা উচিত নয়।,2
পর্যটন এরিয়ায়  নিরাপত্তার ব্যবস্থা করা  উচিত ‌,2
তিন ফরম্যাটের অধিনায়ক লর্ড শান্তকে রাখা উচিত ছিলো,2
"জামাল ভূইয়া কে দলে রাখা হউক, অন্তত ১০ মিনিটের জন্য হলেও।",2
"সুমিতকে প্রথমার্ধে খেলিয়ে, শেষ পনের মিনিট জামালকে সুযোগ দেওয়া উচিত",2
পৃথিবীর সব দেশ ইসরাইলকে বয়কট করা উচিত,2
মেজর এম সাখাওয়াত হোসেন সাহেব কে সন্মানের সহিত স্বরাষ্ট্র মন্ত্রণালয়ের দায়িত্ব বুঝিয়ে দেওয়া উচিত।,2
সব ছাত্রদের দেশ রক্ষায় সরকারি উদ্যোগের প্রশিক্ষণ প্রদান করা উচিত।।।,2
ছাত্ররাই দেশটা ধংস করে দিয়েছে এদের কঠিন সাজা হওয়া উচিত,2
প্রধান উপদেষ্টাকে ঘন ঘন বিদেশ শফর বন্ধ করলে ভালো হবে।,2
প্রতি সপ্তাহশেষে পুরোণো বন্ধুদের সাথে দেখা করুন।,2
বেঁচে থাকার অবলম্বন যখন বেইমান হ‌‌‌ য় তাদের ভুলে যাওয়া উচিত,2
যুদ্ধ করে স্বাধীন হওয়া বাংলাদেশের উচিত সবার আগে মণিপুর কে সৃকৃতি প্রদান করা।,2
একটা লাইভ করেন ম্যাচ এর আগে🙂,2
কাল্পনিক গল্প থেকে আমাদের বেরিয়ে আসা উচিত।,2
বর্তমান ম্যানেজারকে বিদায় দিয়ে ভালো কোচিং নিয়োগ দেওয়া উচিৎ।,2
বাংলাদেশের এখন একটা বিশ্বমানের কোচ নিয়োগ দেয়া উচিত। একজন ভালো গোলকিপার দরকার!!!,2
সিন্ডিকেটের গোলকিপার বিদায় করে দক্ষিণ এশিয়ার সেরা গোলকিপাররে ফেরান।,2
প্রথমে ধরে রাখতে পারলে ভালো কিছু হতো,2
বাংলাদেশ জাতীয় ফুটবল টিমে আনিচুর রহমান জিকুর দরকার….⚽️,2
১৩ জনকে পুরস্কৃত করা উচিত কারণ তারা যে পরীক্ষা করিয়েছেন এটাই বিরল এই দেশে।,2
বর্তমান  রাজনৈতিক চেয়ার গুলো পরিবর্তন করা জরুরি যে এই চেয়ারে বসে সেই মিথ্যা কথা আর চাপাবাজী করে।,2
বড় বিপ্লব ও ত্যাগ ধরে রাখার জন্য যুব সমাজকে দিক নির্দেশনা দেওয়া অত্যাবশ্যক।,2
সেনাবাহিনী ছাড়া অন্যায় অবিচারের সঠিক বিচার এইদেশে সম্ভব নয়।,2
ব্যবস্থাপনা আরো উন্নত করা দরকার।,2
"বাঙালিকে দৌড়ের উপর রাখতে হবে না হলে বাঙালি সিদা হবে না,",2
আইনশৃঙ্খলা ফিরিয়ে আনা খুবই জরুরী।,2
পাপিষ্ঠ জগতে কেউ পা বাড়িও না।,2
" যদি আপনার ভুলের কারণে কেউ কষ্ট পেয়ে থাকে, তাহলে তার কাছে ক্ষমা চান এবং চেষ্টা করুন ক্ষতিপূরণ দেওয়ার।",1
"নদী থেকে বালু উত্তোলন বন্ধ করতে পারলে নদী ভাঙ্গন রোধ করা সম্ভব হবে,",2
"যদি আপনার মনে হয় কেউ মিথ্যা বলছে, আপনি উক্ত বিষয়টি পুনরায় বলার জন্য অনুরোধ করতে পারেন।",0
বরকতের জন্য মাঝে মাঝে সূরা বাকারা পড়ুন…,2
"যখন কাউকে প্রশংসা করবেন, নির্দিষ্টভাবে বলার চেষ্টা করুন। এতে তা আরও বিশেষ মনে হবে।",1
"স্টেডিয়াম এ সকল কিছুর দাম বাড়তি থাকে,এটার বিরুদ্ধে ব্যবস্থা নেওয়া খুব জরুরি",2
"যদি কেউ দুঃখজনক পরিস্থিতিতে থাকে, তাদের ভাব-ভঙ্গি বা বসার ধরন অনুকরণ করুন।",2
যদি আপনি এক্সট্রোভার্ট হন তবে আপনার সামাজিক জীবন কমিয়ে এনে আপনার সীমিত বন্ধুদের সঙ্গে ছোটো ছোটো আড্ডা দিয়ে শুরু করতে পারেন।,0
ব্রাহ্মণবাড়িয়ার লোকজনদের আর্মিতে বেশি করে নিয়োগ দেয়া উচিৎ।,2
অপপ্রচার নয় আপনাদের ভূল গুলি ধরিয়ে দেয়া হচ্ছে তবে দ্রুত কারন জানার চেষ্টা করুন বেশী কনফিডেন্স ভাল না।,1
"যেসব ক্ষেত্রে আপনি দুর্বল মনে করেন, সেগুলিতে দক্ষতা বাড়ানোর চেষ্টা করুন। প্রশিক্ষণ এবং অভ্যাসের মাধ্যমে নিজের সক্ষমতা বৃদ্ধি করুন।",1
নতুন অভিজ্ঞতা আপনাকে বিভিন্ন পরিস্থিতিতে দ্রুত চিন্তা করার ক্ষমতা দেয়। বিভিন্ন কার্যক্রমে অংশগ্রহণ করুন এবং নতুন কিছু করার চেষ্টা করুন।,1
মিথ্যে প্রচার প্রচানার দরকার নেই ।,2
অন্যদের সঙ্গে বিভিন্ন বিষয়ে আলোচনা করুন। এটা আপনাকে বিভিন্ন দৃষ্টিভঙ্গি বুঝতে সাহায্য করবে এবং আপনার আলোচনার দক্ষতা উন্নত করবে,2
প্রাকটিসে সাংবাদিক প্রবেশ নিষিদ্ধ করা উচিৎ,2
"দুটি প্রতিবেশী দেশের মধ্যে শত্রুতা বাড়ানোর বদলে, তাদের মধ্যে অর্থনৈতিক সহযোগিতা, সাংস্কৃতিক বিনিময় এবং রাজনৈতিক স্থিতিশীলতা নিয়ে আলোচনা করা উচিত।",2
নবজাতক শিশু স্বাস্থ্য সেবা দেওয়া উচিত,2
ক্ষমা না করতে পারলে প্রতিশোধ নেয়া শ্রেয়ঃ,2
